Hotel Name,Review,Number of Reviews,Review Score,City
Conrad London St James,Good,868 reviews,8.8,
Paddington Court Executive Rooms,7.3,"2,678 reviews",7.2,
Eccleston Square Hotel,8.5,502 reviews,8.5,
Millennium Hotel London Knightsbridge,Very good,"3,040 reviews",6.8,
citizenM London Bankside,6.8,"3,011 reviews",8.6,
"Holiday Inn Express Park Royal, an IHG Hotel",Review score,"3,207 reviews",8.0,
Bridge Park Hotel,8.6,"2,404 reviews",6.1,
DoubleTree by Hilton London Angel Kings Cross,Fabulous,"4,871 reviews",7.9,
The Gate ApartHotel London,8.0,"2,595 reviews",8.7,
"Radisson Blu Edwardian Bloomsbury Street Hotel, London",Very good,"4,034 reviews",8.4,
Rove Hotel London Paddington,6.1,924 reviews,7.6,
Quality Hotel Hampstead,Review score,"1,821 reviews",8.0,
The Omega Hotel,7.9,733 reviews,7.7,
Sloane Square Hotel,Good,"1,722 reviews",7.8,
Park International Hotel,8.7,"4,439 reviews",7.6,
Queens Park Hotel,Fabulous,"7,019 reviews",5.7,
Native Hyde Park,8.4,900 reviews,7.7,
Citadines Barbican London,Very good,"1,965 reviews",8.2,
Wilde Aparthotels by Staycity London Paddington,7.6,"3,779 reviews",9.1,
Comfort Inn Hyde Park,Good,"1,805 reviews",6.2,
Citadines Trafalgar Square,8.0,"3,952 reviews",8.0,
Garden Court Hotel,Very good,"2,818 reviews",7.5,
Canopy by Hilton London City,7.7,"1,594 reviews",8.7,
Melia White House Hotel,Good,"2,152 reviews",7.9,
"Crowne Plaza London Ealing, an IHG Hotel",7.8,"1,779 reviews",7.8,
"Hart Shoreditch Hotel London, Curio Collection by Hilton",Good,"2,084 reviews",9.0,
"art'otel London Battersea Power Station, Powered by Radisson Hotels",7.6,"1,247 reviews",8.8,
Victoria Inn London,7.2,"2,053 reviews",7.2,
The Cranley Hotel,Good,"1,903 reviews",4.0,
London Marriott Hotel Regents Park,4.0,"2,780 reviews",8.2,
"Holiday Inn London - Whitechapel, an IHG Hotel",Review score,"2,052 reviews",8.2,
Danubius Hotel Regents Park,8.2,"3,314 reviews",8.2,
The Chamberlain,Very good,"5,286 reviews",8.5,
Sydney House Chelsea,8.2,482 reviews,7.8,
"Radisson Blu Edwardian Grafton Hotel, London",Very good,"5,910 reviews",7.9,
"The Clermont London, Victoria",8.2,"5,149 reviews",8.8,
Room Home Stay,Very good,931 reviews,7.6,
Avonmore Hotel,8.5,"1,368 reviews",7.1,
London House Hotel,Very good,"1,991 reviews",7.6,
Hotel Shepherds Bush London,7.8,"2,070 reviews",8.1,
Kensington Court Hotel - Earls Court,Good,999 reviews,7.7,
Vernon House,7.9,6 reviews,7.8,
"The Hoxton, Shoreditch",Good,"1,907 reviews",8.4,
The Z Hotel Gloucester Place,8.8,"5,237 reviews",7.8,
The Z Hotel Soho,Fabulous,"6,447 reviews",7.5,
ibis London Greenwich,7.6,"1,461 reviews",7.4,
"Holiday Inn Express Southwark, an IHG Hotel",Good,"4,146 reviews",8.2,
"Holiday Inn London - Regent's Park, an IHG Hotel",7.1,"4,554 reviews",7.9,
Balmoral House Hotel,Good,"1,123 reviews",7.6,
Sun Street Hotel Shoreditch,7.6,492 reviews,8.9,
Parkwood Hotel,Good,"1,593 reviews",7.7,
Sloane Place,8.1,"1,944 reviews",8.6,
Hotel MSP,7.2,150 reviews,7.2,
Ceylonz Lifestyle Suites @ Bukit Bintang,Good,479 reviews,8.2,
Chambers Residence Kuala Lumpur by Roam,8.2,25 reviews,7.9,
Astar Hotel Bukit Bintang,Very good,510 reviews,7.7,
lyf Raja Chulan Kuala Lumpur,7.9,281 reviews,8.7,
The Platinum 2 Kuala Lumpur by LUMA,Good,"2,139 reviews",8.2,
The Platinum KLCC By Sky Pool,7.7,486 reviews,8.1,
AXON RESIDENCES AT BUKIT BINTANG KUALA LAMPUR,Good,87 reviews,9.4,
"Pavilion Ceylon Hill Suites, Bukit Bintang",8.7,57 reviews,8.4,
INNSiDE by Meliá Kuala Lumpur,Fabulous,249 reviews,8.4,
Hotel Pritty,8.2,198 reviews,7.4,
"Scarletz Suites Kuala Lumpur, Five Senses",Very good,397 reviews,7.9,
Peak Suites At Times Square,8.1,7 reviews,9.6,
Ceylonz Suites by MyKey Global,Very good,"3,887 reviews",8.2,
Expressionz Premium Suites @ KLCC,9.4,3 reviews,10,
Ceylonz Starlight Suites Bukit Bintang,Superb,"3,648 reviews",8.3,
ORKID Hills at Pudu,8.4,375 reviews,7.3,
Chambers Suites KL,Very good,42 reviews,8.4,
Al Amin Muslim Friendly Hotel,8.4,11 reviews,8.4,
STAYS HOTEL,Very good,3 reviews,8.7,
Hilton Garden Inn Kuala Lumpur - South,7.4,"5,712 reviews",8.0,
"Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",Good,"4,670 reviews",7.8,
ECO HOTEL at BB,7.9,101 reviews,6.9,
LA ISRA at KL,Good,107 reviews,7.5,
ibis Kuala Lumpur City Centre,9.6,"3,779 reviews",8.0,
ibis Kuala Lumpur City Centre,8.0,"3,779 reviews",8.0,
Sentral Suites KualaLumpur,Very good,34 reviews,9.0,
"The Majestic Hotel Kuala Lumpur, Autograph Collection",9.0,"2,854 reviews",8.6,
Ceria Hotel,Superb,"1,942 reviews",7.7,
The Platinum 2 Kuala Lumpur by LUMA,8.6,"2,139 reviews",8.2,
Hilton Garden Inn Kuala Lumpur - North,Fabulous,"1,010 reviews",7.8,
ECO HOTEL at BUKIT BINTANG,7.7,198 reviews,7.3,
Hotel Arba,Good,4 reviews,8.3,
Rainbow Suite BTS Bukit Bingtang,8.2,3 reviews,10,
"InterContinental Kuala Lumpur, an IHG Hotel",Very good,"2,547 reviews",8.6,
The Platinum KLCC By Sky Pool,7.8,486 reviews,8.1,
Sentral Suites KL Sentral by The Cynefin,Good,24 reviews,8.7,
"Tribeca Residences Kuala Lumpur, Five Senses",7.3,5 reviews,7.6,
Santa Grand Signature Kuala Lumpur,Good,"4,501 reviews",8.6,
DoubleTree By Hilton Kuala Lumpur,8.3,"4,526 reviews",8.4,
Dongfang Motel,Very good,2 reviews,6.5,
Days Hotel & Suites by Wyndham Fraser Business Park KL,10,"2,884 reviews",8.3,
City Central Hotel,Exceptional,"2,455 reviews",7.6,
"Santa Grand Classic Kuala Lumpur, Chinatown",8.6,925 reviews,8.2,
MOONWAY SUITES At EATON KLCC,Fabulous,297 reviews,9.3,
Komune Living,8.1,"7,354 reviews",8.1,
Novotel Kuala Lumpur City Centre,Very good,"2,194 reviews",8.2,
M Resort & Hotel Kuala Lumpur,8.7,"2,036 reviews",8.5,
U Pac Hotel,Fabulous,410 reviews,7.9,
Indie Hotel Kuala Lumpur,7.6,906 reviews,8.5,
De Luna Hotel Sri Petaling,8.0,417 reviews,8.0,
The Maple Suite,Very good,595 reviews,8.3,
Lucentia Residences BBCC at Lalaport Kuala Lumpur by Veedu Hauz,8.3,139 reviews,8.9,
ViiA Residences Kuala Lumpur,Very good,8 reviews,9.6,
The Platinum KLCC By Sky Pool,8.9,486 reviews,8.1,
A&R Urban Hotel,Fabulous,"1,832 reviews",8.4,
Hotel Maya Kuala Lumpur,9.6,"2,533 reviews",7.8,
Scarletz KLCC Apartments by soulasia,Exceptional,162 reviews,9.2,
Hotel Sentral KL @ KL Sentral Station,8.1,"4,421 reviews",6.4,
"Datum Jelatek Sky Residence Kuala Lumpur, Roam",Very good,6 reviews,8.8,
AXON RESIDENCES AT BUKIT BINTANG KUALA LAMPUR,8.4,87 reviews,9.4,
188 Suites,Very good,1 review,10,
Mars Hotel,7.8,516 reviews,7.2,
EST Bangsar KL Sentral by Greater Stay,Good,511 reviews,7.8,
Chill Suites Kuala Lumpur,9.2,98 reviews,8.8,
"Datum Jelatek Sky Residence KLCC, Five Senses",Superb,140 reviews,8.1,
Sleeping Lion Suites,6.4,661 reviews,8.3,
sky suite klcc,Review score,4 reviews,9.5,
MOV Hotel Kuala Lumpur,8.8,"1,512 reviews",8.0,
Meliá Kuala Lumpur,Fabulous,"2,765 reviews",8.0,
Easy Hotel KL Sentral,9.4,"2,696 reviews",7.9,
Alila Bangsar Kuala Lumpur,Superb,"1,704 reviews",8.7,
J Dupion Residence by Greater Stay,10,239 reviews,8.4,
AXON Residence Kuala Lumpur,Exceptional,11 reviews,9.6,
Cubic Botanical Suites Bangsar South by HomeBrickz,7.2,7 reviews,8.9,
MoMo's Kuala Lumpur,8.3,"1,043 reviews",8.3,
VE Hotel & Residence,Very good,"3,147 reviews",8.6,
Uptown Chinatown,8.6,346 reviews,7.9,
H Boutique Hotel Sri Petaling,Fabulous,314 reviews,7.4,
"Pavilion Ceylon Hill Suites, Bukit Bintang",7.9,57 reviews,8.4,
"Sun Inns Hotel Sentral, Brickfields",Good,415 reviews,6.9,
WP Hotel,7.4,"2,410 reviews",7.2,
Xpeed Holiday Hotel,Good,131 reviews,7.2,
Hotel Venice,8.4,"1,039 reviews",6.9,
Ahyu Hotel,Very good,"1,260 reviews",8.2,
"Scarletz Suites Kuala Lumpur, Five Senses",6.9,397 reviews,7.9,
"Hotel Stripes Kuala Lumpur, Autograph Collection",Review score,"1,653 reviews",8.6,
Swing & Pillows - Sungai Wang Hotel Bukit Bintang,7.2,24 reviews,6.7,
The Chow Kit - an Ormond Hotel,Good,886 reviews,8.2,
"The Colony & Luxe, KLCC by Five Senses",7.2,593 reviews,7.7,
Travelodge Chinatown Kuala Lumpur,Good,"1,279 reviews",7.8,
Metrostar Hotel Kuala Lumpur,6.9,142 reviews,7.6,
Hotel Capitol Kuala Lumpur,Review score,969 reviews,7.9,
SS Grey Hotel,8.2,477 reviews,8.0,
Swing & Pillows - KL Cheras Maluri 2,Very good,180 reviews,7.1,
Stay Collection Bukit Bintang,7.9,"1,016 reviews",8.3,
Kingston Hotel Kuala Lumpur,Good,414 reviews,8.5,
Mercure Kuala Lumpur Shaw Parade,8.6,"2,178 reviews",6.6,
The Mesui Hotel Bukit Bintang,7.7,733 reviews,7.7,
Platinum KLCC by SS Residence,Good,473 reviews,7.8,
Bpod at Setapak KL,7.8,7 reviews,6.7,
The Colony & Luxe Kuala Lumpur by Canopy Lives,Good,12 reviews,6.5,
Ceylonz Suites by MyKey Global,6.7,"3,887 reviews",8.2,
Oakwood Hotel and Residence Kuala Lumpur,Review score,"1,817 reviews",8.3,
188 suites Fraser Residence,6.5,618 reviews,7.0,
D'Garden Hotel Kuala Lumpur,Review score,"3,246 reviews",8.9,
Grand Hyatt Kuala Lumpur,8.2,5 reviews,10,
Eaton Suites KLCC By Fortune,Very good,"3,648 reviews",8.3,
Ceylonz Starlight Suites Bukit Bintang,8.3,740 reviews,7.4,
"Avenue J Hotel, Central Market",Very good,613 reviews,7.6,
Hotel Six Seasons @ Mid Valley,7.0,775 reviews,8.3,
Scarletz Mana-Mana Suites KLCC,Good,"5,364 reviews",7.7,
Expressionz Professional Suites by MyKey Global,8.9,"2,214 reviews",8.3,
Arte by Thomas Chan,Fabulous,6 reviews,7.2,
Una Serviced Apartment Kuala Lumpur by Roam,10,3 reviews,8.3,
M Vertica Residences by Cozy KL Homes,Exceptional,50 reviews,7.9,
EATON Residences by WSD,8.3,142 reviews,7.8,
"UNA Serviced Apartment, Sunway Velocity Kuala Lumpur",Very good,303 reviews,7.7,
WSD Times 8 Luxury Hotels & Residences,7.4,262 reviews,8.3,
"ViiA Residences Kuala Lumpur, Five Senses",Good,360 reviews,7.8,
Star at KLCC,7.6,"7,718 reviews",8.6,
OYO 161 Lodge Paradize Hotel,6.4,13 reviews,6.4,
Double M Hotel @ Kl Sentral,Review score,752 reviews,7.3,
Corus Hotel Kuala Lumpur,7.3,"1,132 reviews",7.6,
SCC Hotel,Good,839 reviews,6.1,
Rainbow Suite BTS Bukit Bingtang,7.6,3 reviews,10,
Akar Hotel Jalan TAR,Good,665 reviews,7.5,
SCC Velodrome KL,6.1,468 reviews,8.6,
Hotel Sunjoy9 @ Mid Valley,Review score,802 reviews,7.4,
188 suites klcc by Signature Apartment,10,109 reviews,8.3,
VHOTEL,Exceptional,2 reviews,7.0,
"Tribeca Residences Kuala Lumpur, Five Senses",7.5,5 reviews,7.6,
Avaria Hotel KL,Good,196 reviews,6.2,
Times Square Suites Kuala Lumpur,8.6,2 reviews,10,
Stay with Bintang,Fabulous,469 reviews,8.3,
Sun Inns Hotel Batu Caves,7.4,510 reviews,6.6,
AC Hotel by Marriott Kuala Lumpur,Good,"1,592 reviews",8.5,
H Boutique Hotel Xplorer Cheras,8.3,177 reviews,7.8,
Silka Cheras Kuala Lumpur,Very good,"1,500 reviews",7.2,
The RuMa Hotel and Residences,7.0,"3,751 reviews",9.2,
Oasia Suites Kuala Lumpur by Far East Hospitality,Good,"2,530 reviews",8.3,
Seri Pacific Hotel Kuala Lumpur,7.6,"6,301 reviews",8.4,
Domitys Bangsar Kuala Lumpur,Good,464 reviews,8.4,
Scarletz Suites KLCC by Mana-Mana,6.2,"1,171 reviews",8.6,
Hilton Kuala Lumpur,Review score,"3,289 reviews",8.7,
Opus Bukit Bintang,10,153 reviews,8.7,
1Orange Hotel Sri Petaling,7.4,475 reviews,7.4,
Travelodge Bukit Bintang,Good,760 reviews,8.0,
Ibis Styles Kuala Lumpur Fraser Business Park,8.0,516 reviews,7.8,
EkoCheras Suite by MOKA,Very good,134 reviews,8.1,
MOONWAY SUITES At EATON KLCC,7.8,297 reviews,9.3,
Ceylonz KLCC by Mana-Mana,Good,94 reviews,7.8,
Space Hotel @ Chinatown Kuala Lumpur,8.1,"1,257 reviews",8.8,
Perdana Kuala Lumpur City Centre,Very good,"2,579 reviews",8.5,
"Millerz Square Bangsar KL, Five Senses",9.3,25 reviews,7.2,
Safari Hotel,Superb,789 reviews,6.6,
Summer suites klcc by Star Residence,7.8,411 reviews,8.5,
Hotel Westree KL Sentral,Good,"1,499 reviews",7.3,
Dua Sentral Kuala Lumpur by Five Senses,8.8,358 reviews,7.5,
Hotel Royal Kuala Lumpur,Fabulous,773 reviews,7.7,
Vivatel Kuala Lumpur,8.5,959 reviews,7.8,
Dorsett Kuala Lumpur,Very good,"5,407 reviews",7.4,
AnCasa Hotel Kuala Lumpur by Ancasa Hotels & Resorts,7.2,"1,755 reviews",8.1,
Axon Apartment Bukit Bintang,Good,14 reviews,7.6,
Concorde Hotel Kuala Lumpur,6.6,"4,949 reviews",8.3,
Urban Living Residence,Review score,743 reviews,7.6,
JD SUITES AXON BUKIT BINTANG,8.5,73 reviews,9.8,
Arenaa Star Hotel,Very good,"1,840 reviews",6.4,
Prime Hotel,7.3,486 reviews,7.0,
Sun Inns Hotel Kepong near Hospital Sungai Buloh,Good,322 reviews,6.9,
8 Kia Peng Residences by Times 8,7.5,255 reviews,8.4,
Crystal Crown Hotel Kuala Lumpur,7.0,270 reviews,7.0,
E&O Residences Kuala Lumpur,Good,"1,155 reviews",7.8,
Expressionz Professional Suites by Autumn Suites Premium Stay,7.8,192 reviews,8.2,
Verdant Hill Hotel Kuala Lumpur,Good,"2,001 reviews",8.3,
The Maple Suite,8.2,595 reviews,8.3,
33 Star Hotel by The Awinka Group Of Management,Very good,42 reviews,5.2,
Scott Hotel KL Sentral,8.3,833 reviews,7.7,
Hotel Transit Kuala Lumpur,Very good,814 reviews,7.3,
Dolphin The Eaton KLCC Kuala Lumpur,8.3,349 reviews,7.9,
Platinum Suites KLCC By YA Noor,Very good,1 review,10,
Lucentia Residences BBCC at Lalaport Kuala Lumpur by Veedu Hauz,5.2,139 reviews,8.9,
Societe Suite Hartamas,Review score,9 reviews,8.4,
M Design Hotel @ Taman Pertama,7.7,164 reviews,8.1,
Hyatt Place Kuala Lumpur Bukit Jalil,Good,7 reviews,8.9,
Axon Luxury Suites KL,7.3,10 reviews,7.9,
"Hyatt House Kuala Lumpur, Mont Kiara",Good,808 reviews,8.4,
Royce Hotel Kuala Lumpur Sentral,7.9,"1,516 reviews",6.6,
"Leo Palace New Wing, WTC Kuala Lumpur",Good,835 reviews,7.1,
V Garden Hotel,10,289 reviews,7.7,
Pullman Kuala Lumpur City Centre Hotel & Residences,Exceptional,"5,975 reviews",8.4,
Hotel 28 Titiwangsa,8.9,35 reviews,7.9,
"Berjaya Times Square Hotel, Kuala Lumpur",Fabulous,"2,687 reviews",7.3,
Axon Service Suite At Bukit Bintang,8.4,200 reviews,7.1,
Floresta Hotel Chinatown,Very good,99 reviews,6.5,
Sky Hotel @ Pudu,6.5,206 reviews,6.5,
Hotel Aman Kuala Lumpur,Review score,358 reviews,8.5,
Scarletz Suites KLCC by De Harlequins Guesthouse,8.5,60 reviews,8.0,
Seeds Hotel Chow Kit,Very good,7 reviews,6.7,
Lucentia Residences BBCC at Lalaport Kuala Lumpur by Veedu Hauz,8.0,139 reviews,8.9,
Sunway Velocity Hotel Kuala Lumpur,Very good,"1,234 reviews",8.4,
Hotel S Damansara,6.7,776 reviews,7.4,
Cardogan Hotel,Review score,264 reviews,7.2,
Four Seasons Hotel Kuala Lumpur,8.9,623 reviews,8.8,
masroom Hotel Kuala Lumpur,Fabulous,424 reviews,7.8,
ViiA Residences Kuala Lumpur,8.4,8 reviews,9.6,
Changkat Inn Hotel,Very good,4 reviews,5.3,
Summer Suites Klcc Holiday Homes,7.4,33 reviews,7.8,
Melange Boutique Hotel Bukit Bintang,Good,984 reviews,7.3,
Robertson PanoramaKL Suites,7.2,172 reviews,8.5,
de King Boutique Hotel KLCC,Good,"2,060 reviews",7.8,
Flora by Crossroads Hotel,8.8,956 reviews,6.6,
Societe Suites,Fabulous,1 review,10,
T SIGNATURE HOTEL KL,7.8,120 reviews,5.6,
Platinum Suites KLCC by Luxurinn Bukit Bintang,Good,2 reviews,10,
Millerz Square by Mykey Global,9.6,361 reviews,9.1,
188 Suites KLCC,Exceptional,165 reviews,8.0,
One Bukit Ceylon by Home Suites,5.3,61 reviews,8.0,
OYO 90780 J Hotel Bukit Bintang,Review score,57 reviews,6.0,
Ramada Suites by Wyndham Kuala Lumpur City Centre,7.8,469 reviews,8.0,
Hotel Grand Continental Kuala Lumpur,7.5,291 reviews,7.5,
T-hotel Mont Kiara,Good,657 reviews,6.6,
Renaissance Kuala Lumpur Hotel & Convention Centre,6.6,89 reviews,7.7,
H Boutique Hotel Xplorer Loke Yew,Review score,6 reviews,8.8,
"Datum Jelatek Sky Residence Kuala Lumpur, Roam",7.7,447 reviews,7.3,
Asia Like Boutique Hotel,Good,"1,226 reviews",7.3,
Expressionz Suites KL by Perfect Host,8.8,235 reviews,5.2,
i-Hotel Kuala Lumpur,Fabulous,340 reviews,7.5,
OYO 89576 Mokka Hotel,7.3,182 reviews,8.5,
Mercu Summer Suites Bernice KLCC,Good,1 review,10,
188 Suites,7.3,"1,677 reviews",6.7,
Citin Hotel Masjid Jamek by Compass Hospitality,Good,458 reviews,7.2,
City Comfort Hotel Kuala Lumpur City Center (Bukit Bintang),5.2,249 reviews,7.9,
Prescott Hotel Kuala Lumpur Medan Tuanku,Review score,375 reviews,8.0,
B Lot Hotel,7.5,715 reviews,7.7,
Damas Suites & Residences Kuala Lumpur,Good,2 reviews,6.0,
The Axon Bukit Bintang by SMOVF BNB,8.5,191 reviews,7.1,
Hotel VGO,Very good,162 reviews,6.2,
Super OYO Capital O 90125 Hotel Grand Orchard,10,193 reviews,7.7,
Raissa Boutique Hotel,Exceptional,694 reviews,7.6,
East Riverine Boutique Hotel,6.7,"1,968 reviews",8.9,
"Capri by Fraser, Bukit Bintang",Review score,133 reviews,3.2,
SPOT ON 90137 Casavilla Hotel Pudu,7.2,"1,661 reviews",8.0,
Royale Chulan Kuala Lumpur,Good,366 reviews,6.0,
Motel One Manchester-Piccadilly,8.7,"12,860 reviews",8.7,
"Hotel Indigo Manchester - Victoria Station, an IHG Hotel",Fabulous,"5,756 reviews",8.9,
ibis Budget Manchester Centre Pollard Street,8.9,"7,427 reviews",7.1,
"Kimpton Clocktower, an IHG Hotel",Fabulous,"4,955 reviews",8.9,
Residence Inn by Marriott Manchester Piccadilly,7.1,519 reviews,8.6,
Wilde Aparthotels Manchester St. Peters Square,Good,"6,683 reviews",9.0,
"Holiday Inn Express Manchester City Centre, an IHG Hotel",8.9,"6,327 reviews",6.9,
Motel One Manchester-St. Peter´s Square,Fabulous,"8,403 reviews",8.9,
Hampton By Hilton Manchester Northern Quarter,8.6,"8,081 reviews",8.2,
Motel One Manchester-Royal Exchange,Fabulous,"11,235 reviews",8.6,
Britannia Hotel City Centre Manchester,9.0,"21,512 reviews",5.7,
Native Manchester,Superb,"5,672 reviews",8.9,
Sachas Hotel Manchester,6.9,"12,739 reviews",5.7,
ibis Manchester Centre 96 Portland Street,Review score,"6,405 reviews",8.0,
Hilton Manchester Deansgate,8.9,"4,058 reviews",7.7,
Hilton Garden Inn Manchester Emirates Old Trafford,Fabulous,"3,818 reviews",8.8,
"Holiday Inn Express Manchester City Centre Arena, an IHG Hotel",8.2,"5,272 reviews",8.1,
ABode Manchester,Very good,"2,035 reviews",8.4,
Ville Hotel,8.6,"2,596 reviews",7.2,
The Gardens Hotel,Fabulous,"6,595 reviews",7.0,
AC Hotel by Marriott Manchester City Centre,5.7,"4,844 reviews",8.4,
Moxy Manchester City,Review score,"3,255 reviews",8.9,
The Lowry Hotel,8.9,"2,912 reviews",8.7,
Velvet Hotel,Fabulous,"1,679 reviews",8.6,
Park Inn by Radisson Manchester City Centre,5.7,"8,623 reviews",7.9,
Wilde Aparthotels Manchester St. Peters Square,9.0,"6,683 reviews",9.0,
ibis Styles Manchester Portland,Superb,"10,174 reviews",7.1,
The Townhouse Manchester,7.1,"4,465 reviews",7.9,
ibis Manchester Centre Princess Street,Good,"5,368 reviews",7.5,
The Ultimate Hen Suite with Bar & Makeup Room,7.9,4 reviews,9.5,
"Crowne Plaza Manchester City Centre, an IHG Hotel",Good,"7,706 reviews",8.6,
Clayton Hotel Manchester City Centre,7.5,"12,461 reviews",8.5,
Leonardo Hotel Manchester Central - Formerly Jurys Inn,Good,"10,314 reviews",8.4,
Hotel Brooklyn Manchester,9.5,"6,202 reviews",8.9,
Manchester Marriott Victoria & Albert Hotel,Exceptional,"2,711 reviews",8.6,
The Ashcroft Apartments,8.6,846 reviews,8.1,
Manchester Piccadilly Hotel,Fabulous,"12,723 reviews",7.7,
ibis budget Manchester Salford Quays,8.5,"8,458 reviews",7.1,
DoubleTree by Hilton Manchester Piccadilly,Very good,"4,156 reviews",8.2,
Hotel Gotham,8.4,"3,189 reviews",8.9,
"Holiday Inn Express Manchester - Salford Quays, an IHG Hotel",Very good,"4,439 reviews",7.6,
AC Hotel by Marriott Manchester Salford Quays,8.9,"2,484 reviews",8.2,
INNSiDE by Meliá Manchester,Fabulous,"5,565 reviews",8.8,
the niu Loom,8.6,"6,325 reviews",8.8,
YOTEL Manchester Deansgate,Fabulous,"12,268 reviews",8.6,
Luther King House,8.1,"5,689 reviews",7.9,
"Hotel Football, Old Trafford, a Tribute Portfolio Hotel",Very good,"3,416 reviews",9.0,
"Trafford Hall Hotel Manchester, Trademark Collection by Wyndham",7.7,"3,151 reviews",7.4,
"Holiday Inn Manchester West, an IHG Hotel",Good,"1,919 reviews",8.0,
"The Edwardian Manchester, A Radisson Collection Hotel",7.1,"10,388 reviews",8.9,
Maldron Hotel Manchester City Centre,8.6,"9,895 reviews",8.6,
Native Manchester,Fabulous,"5,672 reviews",8.9,
Stock Exchange Hotel,8.9,"1,920 reviews",9.4,
Novotel Manchester Centre,Fabulous,"3,851 reviews",8.2,
Hyatt House Manchester,9.4,974 reviews,9.0,
"Holiday Inn Express - Manchester - TRAFFORDCITY, an IHG Hotel",Superb,"4,302 reviews",8.3,
The Ultimate Hen Suite with Bar & Makeup Room,8.2,4 reviews,9.5,
The Ashcroft Apartments,Very good,846 reviews,8.1,
Staycity Aparthotels Manchester Piccadilly,9.0,"5,262 reviews",8.8,
The Midland,Superb,"4,673 reviews",8.4,
Bowling Green,8.3,423 reviews,9.0,
The Waterside Hotel and Leisure Club,Very good,"2,879 reviews",8.3,
CitySuites Aparthotel,9.5,"6,068 reviews",8.7,
Tinapa Suites,Exceptional,490 reviews,7.8,
Leonardo Hotel Manchester Piccadilly,8.1,"7,223 reviews",8.5,
"Holiday Inn Manchester-Mediacityuk, an IHG Hotel",Very good,"1,764 reviews",8.5,
Copthorne Hotel Manchester Salford Quays,8.8,"4,611 reviews",7.6,
Malmaison Manchester,Fabulous,"4,011 reviews",8.0,
The Cow Hollow Hotel,8.4,"1,100 reviews",8.8,
Mercure Manchester Piccadilly Hotel,Very good,"7,972 reviews",6.6,
Pendulum Hotel,9.0,"4,763 reviews",7.3,
Crystal Home,Superb,12 reviews,8.3,
Milton Manchester Hotel,8.3,"4,029 reviews",7.2,
Roomzzz Manchester Victoria,Very good,"2,207 reviews",8.9,
Stay Inn Manchester,8.7,"2,826 reviews",7.1,
The Bulls Head Hotel,7.9,902 reviews,7.9,
Abel Heywood Boutique Hotel,Good,"2,438 reviews",8.7,
Campanile Manchester,8.7,"3,907 reviews",6.6,
Forty-Seven,Fabulous,36 reviews,8.6,
CitySuites Aparthotel,6.6,"6,068 reviews",8.7,
The Mitre Hotel,Review score,"3,695 reviews",6.9,
Old Trafford Stadium Hotel,8.6,"1,149 reviews",7.2,
Hello Hotel,Fabulous,"2,010 reviews",8.1,
Diamond Lodge,8.7,"3,323 reviews",7.9,
The Oddfellows Arms,Fabulous,211 reviews,8.4,
Roomzzz Manchester Victoria,6.9,"2,207 reviews",8.9,
CitySuites Two Aparthotel,Review score,"4,552 reviews",9.1,
Castlefield Hotel,7.2,"3,839 reviews",8.2,
Piccadilly Central,Good,"1,326 reviews",8.8,
High Street Town House,8.1,99 reviews,8.9,
Lower Turks Head,Very good,456 reviews,8.0,
Miller & Carter Heaton Chapel by Innkeeper's Collection,7.9,696 reviews,8.3,
Albert View Rooms,Good,878 reviews,6.6,
Empress House,8.4,336 reviews,7.9,
Woodthorpe Hotel,Very good,220 reviews,7.9,
Cove Minshull Street,8.9,"1,605 reviews",9.2,
Milverton Hotel,Fabulous,395 reviews,6.5,
The Pleasant House,9.1,4 reviews,4.0,
Whitworth Locke,Superb,"3,498 reviews",9.0,
"Weaste Hotel, West Manchester",8.2,320 reviews,4.5,
Roomshala 133 Happy Residency - Champa Gali,8.4,30 reviews,8.4,
The Ventus - A boutique Hotel@Delhi Airport,Very good,28 reviews,8.7,
Ventus by Vegas Inn Delhi Airport,8.7,60 reviews,8.8,
Skon Boutique by Orion Hotels,Fabulous,127 reviews,7.6,
Hotel The Tark Near IGI Airport Delhi,8.8,91 reviews,8.0,
Hotel Mannat international by Mannat,Fabulous,"1,729 reviews",8.1,
Hotel The Olive Near Delhi Airport,7.6,24 reviews,8.5,
"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",Good,637 reviews,7.7,
Hotel Caves A Family Hotel Near IGI Airport Delhi,8.0,283 reviews,7.2,
Hotel Grand Suites By D Capitol,Very good,611 reviews,7.7,
"Hotel Shivdev International, Near New Delhi Railway Station",8.1,"1,856 reviews",6.9,
Hotel Tripple Tree - Karol Bagh,Very good,503 reviews,8.1,
Hotel Olive New Delhi,8.5,74 reviews,8.6,
City Walk Residency,Very good,70 reviews,8.0,
Hotel Classic - Near Nizamuddin Railway Station,7.7,116 reviews,7.1,
The Kiara Near Delhi Airport,Good,191 reviews,8.1,
Hotel The Raj New Delhi,7.2,72 reviews,8.4,
"Airport Hotel Grand, New Delhi",Good,698 reviews,7.8,
Hindustan by Backpackers Heaven Near New Delhi Railway Station,7.7,222 reviews,7.8,
Hotel Select City Inn,Good,76 reviews,7.6,
Hotel Ajanta,6.9,815 reviews,7.3,
Hotel Pearl - Mahipalpur Delhi Airport,Review score,658 reviews,8.3,
